"Observation_ID","Observation_Label","User_Pedon_ID","Latitude","Longitude","State","County","ocean","lake","pedon_id","distance","obs_date","siteiid","peiid","ecositeid","drainagecl","taxonname","taxclname","taxsubgrp","bedrckdepth","flodfreqcl","landform_string","sand050","sand150","pH50","p_wet","p_moist","p_dry","p_mucky","p_sandy","p_rock","p_coastal","p_flood","p_salty","p_dysic","p_euic"
"GRR.GJS.2012.19","S12052302","",42.9837666666667,-86.06975,"Michigan","Ottawa County",889478.02928815,12659.7158099911,"2010MI139F045",315.328014521654,2010-06-30,463349,"455091",NA,"moderately well","Covert","Sandy, mixed, mesic Oxyaquic Haplorthods","oxyaquic haplorthods",500,"none","lake plain",89.7718760967255,91.0493338012695,4.59999990463257,0,1,0,0,1,0,0,0,0,1,0
"GRR.GJS.2012.2","MM01.A","",42.97975,-85.8368,"Michigan","Ottawa County",872893.541390162,31483.9578122937,"2012MI139003",0,2012-04-16,1491710,"1374223","F097XA027MI","moderately well","Abscota","Mixed, mesic Oxyaquic Udipsamments","oxyaquic udipsamments",500,NA,"flood plain",85.3333333333333,54.9333333333333,NA,0,1,0,0,1,0,0,1,0,0,0
"GRR.GJS.2012.20","S12052401","",43.29635,-85.357,"Michigan","Montcalm County",858032.556802257,68607.7130059525,"2012MI117213",5011.48576642582,2012-10-26,512613,"503771",NA,"well","Tekenink","Loamy, mixed, mesic Arenic Glossudalfs","arenic glossudalfs",500,"none","moraine",82,46.3533333333333,5.64705868328319,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2012.21","S12052402","",43.2991666666667,-85.3564666666667,"Michigan","Montcalm County",858143.932899158,68662.2132816422,"2012MI117213",4731.70902258762,2012-10-26,512613,"503771",NA,"well","Tekenink","Loamy, mixed, mesic Arenic Glossudalfs","arenic glossudalfs",500,"none","moraine",82,46.3533333333333,5.64705868328319,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2012.22","S12052403","",43.1411944444444,-85.1938055555556,"Michigan","Montcalm County",838194.269567691,83188.9508133657,"F2010MI117F052",835.727239539094,2010-09-10,463417,"460209",NA,"moderately well","Brems","Mixed, mesic Oxyaquic Udipsamments","oxyaquic udipsamments",500,"none","outwash plain",92,74.8266666666667,NA,0,1,0,0,1,0,0,0,0,0,0
"GRR.GJS.2012.23","S12053101","",43.01815,-85.6268833333333,"Michigan","Kent County",860515.212333602,48959.5876169122,"2015MI081003",157.618497920015,2015-07-20,1499685,"1373802","F098XA006MI","very poorly","SND","Fine-silty, carbonatic, mesic Typic Endoaquents","typic endoaquents",500,NA,"lakebed (relict)",0,0,7.60526301986293,1,0,0,0,0,0,0,0,0,0,1
"GRR.GJS.2012.24","S12060401","",42.9868666666667,-85.3594,"Michigan","Kent County",840226.821163869,70258.3334503034,"2015MI081002",222.910862220131,2015-07-08,1499684,"1373801","F098XA004MI","very poorly","Kerston","Euic, mesic Fluvaquentic Haplosaprists","fluvaquentic haplosaprists",500,"frequent","fen",0,0,5.59333335558573,1,0,0,1,0,0,0,1,0,0,1
"GRR.GJS.2012.25","S12060402","",42.9281666666667,-85.28675,"Michigan","Ionia County",831719.067976528,75748.3214289958,"2012MI067001",3383.6955376621,2012-06-28,789586,"774792",NA,"well","Spinks","Sandy, mixed, mesic Arenic Glossudalfs","arenic glossudalfs",500,"none","moraine",92,44.16,5.29305564694934,0,0,1,0,1,0,0,0,0,1,0
"GRR.GJS.2012.26","S12060501","",42.8779166666667,-85.3238166666667,"Michigan","Kent County",831289.188197129,72530.6254323491,"1959MI081003",3931.78111674884,2015-01-08,939668,"922591",NA,"somewhat poorly","Capac","Fine-loamy, mixed, active, mesic Glossaquic Hapludalfs","glossaquic hapludalfs",500,NA,"moraine",38.6470588235294,39.9642857142857,6.42156862745098,0,1,0,0,0,0,0,0,0,0,1
"GRR.GJS.2012.27","S12060502","",42.7710333333333,-85.6234166666667,"Michigan","Kent County",846077.841538631,47871.8601614747,"1981MI081102",1030.35433254609,1981-03-10,1120325,"1111246",NA,"well","Kalamazoo","Fine-loamy, mixed, semiactive, mesic Typic Hapludalfs","typic hapludalfs",500,"none","moraine",36.4090909090909,16.02,6.19999980926514,0,0,1,0,0,0,0,0,0,0,1
"GRR.GJS.2012.28","S12060503","",42.7708166666667,-85.6233666666667,"Michigan","Kent County",846062.149669172,47875.7757405445,"1981MI081102",1044.9392100802,1981-03-10,1120325,"1111246",NA,"well","Kalamazoo","Fine-loamy, mixed, semiactive, mesic Typic Hapludalfs","typic hapludalfs",500,"none","moraine",36.4090909090909,16.02,6.19999980926514,0,0,1,0,0,0,0,0,0,0,1
"GRR.GJS.2012.29","S12061301","",41.7079166666667,-86.6074666666667,"Indiana","LaPorte County",869162.11440369,15499.2586638284,"1977MI021004",6290.58800945802,1977-04-22,1114777,"1106813",NA,"well","Oshtemo","Coarse-loamy, mixed, active, mesic Typic Hapludalfs","typic hapludalfs",500,"none","outwash delta",65,75.6866666666667,5.7876542703605,0,0,1,0,0,0,0,0,0,0,1
"GRR.GJS.2012.3","MM01.01","1967MI139202",42.976745,-85.836789,"Michigan","Ottawa County",872721.167279123,31447.8651817202,"2012MI139001",0.0675335271617037,2012-04-16,1491708,"1374221","F097XA004MI","well","Chelsea","Mixed, mesic Lamellic Udipsamments","lamellic udipsamments",500,NA,"outwash plain",90.1538461538462,63.6279069767442,NA,0,0,1,0,1,0,0,0,0,0,0
"GRR.GJS.2012.30","S12061302","",41.7514166666667,-86.4046,"Indiana","Saint Joseph County",855068.083966099,23909.8962970775,"1974MI021202",2693.6869795707,1974-07-10,512618,"503776",NA,"very poorly","Houghton","Euic, mesic Typic Haplosaprists","typic haplosaprists",500,NA,"depression",0,0,4.42452830188679,1,0,0,1,0,0,0,0,0,1,0
"GRR.GJS.2012.31","S12060701","",42.34765,-86.0047166666667,"Michigan","Van Buren County",851329.950014935,23622.5950511535,"1982MI159064",7512.09926801573,1982-10-15,490928,"567951",NA,"very poorly","Edwards","Marly, euic, mesic Limnic Haplosaprists","limnic haplosaprists",500,NA,"drainageway",0,0,7.81710514896794,1,0,0,1,0,0,0,0,0,0,1
"GRR.GJS.2012.32","S12060702","",42.3389166666667,-86.0200833333333,"Michigan","Van Buren County",852036.74076067,22760.8621020332,"2012MI159002",7160.80349497999,2012-07-13,1499696,"1373812","F097XA004MI","well","Spinks","Coarse-loamy, mixed, mesic Lamellic Hapludalfs","lamellic hapludalfs",500,"none","end moraine",46.25,46.18,5.30000019073486,0,0,1,0,0,0,0,0,0,1,0
"GRR.GJS.2012.33","S12060703","",42.3392333333333,-86.0195166666667,"Michigan","Van Buren County",852010.36274517,22795.6833840569,"2012MI159002",7210.93316732915,2012-07-13,1499696,"1373812","F097XA004MI","well","Spinks","Coarse-loamy, mixed, mesic Lamellic Hapludalfs","lamellic hapludalfs",500,"none","end moraine",46.25,46.18,5.30000019073486,0,0,1,0,0,0,0,0,0,1,0
"GRR.GJS.2012.34","S12062501","",42.7701166666667,-84.3851833333333,"Michigan","Clinton County",760586.132644073,106521.506039558,"2012MI037001",3.94895970414335,2012-06-25,1499694,"1373810","F098XA006MI","very poorly","Pinnebog","Euic, mesic Hemic Haplosaprists","hemic haplosaprists",500,"none","depression",0,0,5.5,1,0,0,1,0,0,0,0,0,1,0
"GRR.GJS.2012.35","S12062502","",42.7701,-84.3852166666667,"Michigan","Clinton County",760587.662239754,106524.342746577,"2012MI037001",0.0345228262063988,2012-06-25,1499694,"1373810","F098XA006MI","very poorly","Pinnebog","Euic, mesic Hemic Haplosaprists","hemic haplosaprists",500,"none","depression",0,0,5.5,1,0,0,1,0,0,0,0,0,1,0
"GRR.GJS.2012.36","S12062503","",42.7950666666667,-84.3826333333333,"Michigan","Clinton County",761715.656908613,103928.541562149,"2012MI037002",0.0506577710131585,2012-06-25,1499695,"1373811","F098XA012MI","very poorly","Gilford","Coarse-loamy over sandy or sandy-skeletal, mixed, calcareous, mesic Typic Endoaquepts","typic endoaquepts",500,"none","depression",25.0714285714286,36.12,7.69999980926514,1,0,0,0,0,0,0,0,0,0,1
"GRR.GJS.2012.37","S12062504","",42.7957,-84.3822,"Michigan","Clinton County",761717.917087739,103849.754508653,"2012MI037002",83.4732066248572,2012-06-25,1499695,"1373811","F098XA012MI","very poorly","Gilford","Coarse-loamy over sandy or sandy-skeletal, mixed, calcareous, mesic Typic Endoaquepts","typic endoaquepts",500,"none","depression",25.0714285714286,36.12,7.69999980926514,1,0,0,0,0,0,0,0,0,0,1
"GRR.GJS.2012.38","S12062801","",42.5074833333333,-85.7101166666667,"Michigan","Allegan County",837932.833050796,43504.6733011745,"1980MI005001",1195.25963419179,1980-08-07,329753,"329646",NA,"somewhat poorly","Blount","Fine, mixed, mesic Typic Glossaqualfs","typic glossaqualfs",500,"none","moraine",12.3571428571429,9,5.77321427209037,0,1,0,0,0,0,0,0,0,0,1
"GRR.GJS.2012.39","S12062802","",42.5073666666667,-85.7103,"Michigan","Allegan County",837939.948898751,43492.8447324237,"1980MI005001",1176.83839226435,1980-08-07,329753,"329646",NA,"somewhat poorly","Blount","Fine, mixed, mesic Typic Glossaqualfs","typic glossaqualfs",500,"none","moraine",12.3571428571429,9,5.77321427209037,0,1,0,0,0,0,0,0,0,0,1
"GRR.GJS.2012.4","ML18.04","",42.56515,-86.0208666666667,"Michigan","Allegan County",863476.22200172,17213.219446571,"2012MI005001",0.421000378359717,2012-04-19,1499689,"1373805","F097XA004MI","excessively","Plainfield","Mixed, mesic Typic Udipsamments","typic udipsamments",500,"none","beach ridge",87.7538461538462,90.16,NA,0,0,1,0,1,0,0,0,0,0,0
"GRR.GJS.2012.40","S12062901","",42.49195,-85.8336333333333,"Michigan","Allegan County",846079.106826194,33891.4854387661,"1983MI0050003",6663.48388412167,1983-07-08,1491839,"1374346","F097XA004MI","well","Oakville","Mixed, mesic Typic Udipsamments","typic udipsamments",500,"none",NA,92,92,6.94923081764808,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2012.41","S12062902","",42.4973166666667,-85.8233166666667,"Michigan","Allegan County",845607.678356668,34643.3092903028,"2012MI005202",6058.54696277507,2012-07-10,1499688,"1373804","F097XA017MI","well","Tekenink","Fine-loamy, mixed, mesic Typic Glossudalfs","typic glossudalfs",500,"none","moraine",70.8846153846154,74.9961685823755,5.55483865737915,0,0,1,0,0,0,0,0,0,0,1
"GRR.GJS.2012.42","S12062903","",42.4962166666667,-85.8257833333333,"Michigan","Allegan County",845729.792286803,34464.6258208241,"2012MI005202",6240.44322882194,2012-07-10,1499688,"1373804","F097XA017MI","well","Tekenink","Fine-loamy, mixed, mesic Typic Glossudalfs","typic glossudalfs",500,"none","moraine",70.8846153846154,74.9961685823755,5.55483865737915,0,0,1,0,0,0,0,0,0,0,1
"GRR.GJS.2012.43","S12070201","",42.0082666666667,-85.9656833333333,"Michigan","Cass County",832366.917505186,41820.2754361244,"2012MI027201",0.00507205081405349,2012-07-02,1499698,"1373814","F098XA015MI","well","SND","Coarse-loamy, mixed, mesic Ultic Hapludalfs","ultic hapludalfs",500,"none","terrace",74.3125,49.5405405405405,4.47096761580436,0,0,1,0,0,0,0,0,0,1,0
"GRR.GJS.2012.44","S12070202","",42.0078666666667,-85.9667666666667,"Michigan","Cass County",832430.713071635,41769.3606910056,"2012MI027201",120.972238798507,2012-07-02,1499698,"1373814","F098XA015MI","well","SND","Coarse-loamy, mixed, mesic Ultic Hapludalfs","ultic hapludalfs",500,"none","terrace",74.3125,49.5405405405405,4.47096761580436,0,0,1,0,0,0,0,0,0,1,0
"GRR.GJS.2012.45","S12070203","",41.9983666666667,-85.95995,"Michigan","Cass County",831485.012145036,42820.923440898,"2012MI027201",1251.77879223387,2012-07-02,1499698,"1373814","F098XA015MI","well","SND","Coarse-loamy, mixed, mesic Ultic Hapludalfs","ultic hapludalfs",500,"none","terrace",74.3125,49.5405405405405,4.47096761580436,0,0,1,0,0,0,0,0,0,1,0
"GRR.GJS.2012.46","S12071301","",42.2731333333333,-86.0417666666667,"Michigan","Van Buren County",850449.657331401,23255.208032822,"2012MI159001",0.0506995277860458,2012-07-13,1499697,"1373813","F097XA018MI","well","Riddles","Fine-loamy, mixed, active, mesic Typic Hapludalfs","typic hapludalfs",500,"none","end moraine",48.4941176470588,64.7767441860465,5.85789454610724,0,0,1,0,0,0,0,0,0,0,1
"GRR.GJS.2012.47","S12092504","",42.7311666666667,-85.4295,"Michigan","Barry County",830158.468614912,63732.7605462144,"1984MI015009",3353.99797349511,1984-09-13,512691,"503852",NA,"well","Spinks","Sandy, mixed, mesic Lamellic Hapludalfs","lamellic hapludalfs",500,NA,"kame terrace",88.056338028169,90.1333333333333,6.32112664236149,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2012.48","S12092601","",42.85515,-85.8504666666667,"Michigan","Ottawa County",866823.536086206,29475.5248568783,"2012MI139013",81.3617378441867,2012-09-26,1499692,"1373808","F097XA017MI","moderately well","Elmdale","Coarse-loamy, mixed, semiactive, mesic Oxyaquic Glossudalfs","oxyaquic glossudalfs",500,"none","ravine",79.8163265306122,48.6632124352332,5.59999990463257,0,1,0,0,0,0,0,0,0,0,1
