"Observation_ID","mukey","cokey","drainagecl","comppct_r","compname","taxclname","taxsubgrp","sand050","sand150","rockdepth","comppct_l","comppct_h","compkind","majcompflag","otherph","localphase","slope_l","slope_r","slope_h","slopelenusle_l","slopelenusle_r","slopelenusle_h","runoff","tfact","wei","weg","erocl","earthcovkind1","earthcovkind2","hydricon","hydricrating","elev_l","elev_r","elev_h","aspectccwise","aspectrep","aspectcwise","geomdesc","albedodry_l","albedodry_r","albedodry_h","airtempa_l","airtempa_r","airtempa_h","map_l","map_r","map_h","reannualprecip_l","reannualprecip_r","reannualprecip_h","ffd_l","ffd_r","ffd_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","cropprodindex","constreeshrubgrp","wndbrksuitgrp","rsprod_l","rsprod_r","rsprod_h","foragesuitgrpid","wlgrain","wlgrass","wlherbaceous","wlshrub","wlconiferous","wlhardwood","wlwetplant","wlshallowwat","wlrangeland","wlopenland","wlwoodland","wlwetland","soilslippot","frostact","initsub_l","initsub_r","initsub_h","totalsub_l","totalsub_r","totalsub_h","hydgrp","corcon","corsteel","taxorder","taxsuborder","taxgrtgroup","taxpartsize","taxpartsizemod","taxceactcl","taxreaction","taxtempcl","taxmoistscl","taxtempregime","soiltaxedition","castorieindex","flecolcomnum","flhe","flphe","flsoilleachpot","flsoirunoffpot","fltemik2use","fltriumph2use","indraingrp","innitrateleachi","misoimgmtgrp","vasoimgtgrp","pmkind","pmorigin","landform","mntn","hill","trce","flats","shapeacross","shapedown","slopeshape","hillslopeprof","areasymbol","lkey","musym","muname","mukind","mustatus","invesintens","muacres","farmlndcl","flood","pH50","carbdepth","ocean","lake","wet","moist","dry","mucky","sandy","rock","coastal","salty","dysic","calcareous","euic"
"GRR.GJS.2022.5",2574648,"21199220","Moderately well drained",85,"Croswell","Sandy, isotic, frigid Oxyaquic Haplorthods","Oxyaquic Haplorthods",87.52,93.64,500,80,100,"Series","Yes",NA,NA,0,1,6,30,61,91,"Very low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",176,303,456,NA,NA,NA,"lakebeds (relict) on lake plains, till-floored lake plains on lake plains, glacial drainage channels on till plains, moraines on till plains, outwash plains on till plains",NA,0.0900000035762787,NA,5,7,9,700,810,920,NA,NA,NA,90,120,160,4,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","frigid","Oxyaquic","frigid","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Glaciofluvial deposits",NA,"outwash plains",NA,"Base Slope",NA,NA,"Linear","Linear","LL","Backslope","MI600","11658","CswaaA","Croswell sand, 0 to 6 percent slopes","Consociation",NA,"Order 2",29350,"Not prime farmland",0,5.56199997901917,NA,872731.703560017,56001.7326739129,0,1,0,0,1,0,0,0,0,0,1
"GRR.GJS.2022.12",2574648,"21199220","Moderately well drained",85,"Croswell","Sandy, isotic, frigid Oxyaquic Haplorthods","Oxyaquic Haplorthods",87.52,93.64,500,80,100,"Series","Yes",NA,NA,0,1,6,30,61,91,"Very low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",176,303,456,NA,NA,NA,"lakebeds (relict) on lake plains, till-floored lake plains on lake plains, glacial drainage channels on till plains, moraines on till plains, outwash plains on till plains",NA,0.0900000035762787,NA,5,7,9,700,810,920,NA,NA,NA,90,120,160,4,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","frigid","Oxyaquic","frigid","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Glaciofluvial deposits",NA,"outwash plains",NA,"Base Slope",NA,NA,"Linear","Linear","LL","Backslope","MI600","11658","CswaaA","Croswell sand, 0 to 6 percent slopes","Consociation",NA,"Order 2",29350,"Not prime farmland",0,5.56199997901917,NA,875277.412947785,36877.5719194036,0,1,0,0,1,0,0,0,0,0,1
"GRR.GJS.2022.4",190743,"21199229","Somewhat excessively drained",98,"Kalkaska","Sandy, isotic, frigid Typic Haplorthods","Typic Haplorthods",90.6,94.7333333333333,500,95,100,"Series","Yes",NA,NA,6,12,18,15,30,46,"Low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,354,520,NA,NA,NA,"valley trains on ice-margin complexes, rises on outwash plains, moraines on till plains",NA,0.0199999995529652,NA,5,7,9,700,810,920,NA,NA,NA,90,120,160,6,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","frigid","Typic","frigid","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Drift",NA,"moraines",NA,"Nose Slope and Side Slope",NA,NA,"Convex and Linear","Convex and Linear","LL and VL and VV","Backslope and Shoulder","MI600","11658","15C","Kalkaska sand, 6 to 18 percent slopes","Consociation",NA,"Order 2",61276,"Not prime farmland",0,4.94999988555908,NA,872139.285588168,55540.7257040703,0,0,1,0,1,0,0,0,1,0,0
"GRR.GJS.2022.6",190743,"21199229","Somewhat excessively drained",98,"Kalkaska","Sandy, isotic, frigid Typic Haplorthods","Typic Haplorthods",90.6,94.7333333333333,500,95,100,"Series","Yes",NA,NA,6,12,18,15,30,46,"Low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,354,520,NA,NA,NA,"valley trains on ice-margin complexes, rises on outwash plains, moraines on till plains",NA,0.0199999995529652,NA,5,7,9,700,810,920,NA,NA,NA,90,120,160,6,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","frigid","Typic","frigid","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Drift",NA,"moraines",NA,"Nose Slope and Side Slope",NA,NA,"Convex and Linear","Convex and Linear","LL and VL and VV","Backslope and Shoulder","MI600","11658","15C","Kalkaska sand, 6 to 18 percent slopes","Consociation",NA,"Order 2",61276,"Not prime farmland",0,4.94999988555908,NA,874176.855044104,50829.3561347629,0,0,1,0,1,0,0,0,1,0,0
"GRR.NJL.2023.11",190743,"21199229","Somewhat excessively drained",98,"Kalkaska","Sandy, isotic, frigid Typic Haplorthods","Typic Haplorthods",90.6,94.7333333333333,500,95,100,"Series","Yes",NA,NA,6,12,18,15,30,46,"Low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,354,520,NA,NA,NA,"valley trains on ice-margin complexes, rises on outwash plains, moraines on till plains",NA,0.0199999995529652,NA,5,7,9,700,810,920,NA,NA,NA,90,120,160,6,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","frigid","Typic","frigid","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Drift",NA,"moraines",NA,"Nose Slope and Side Slope",NA,NA,"Convex and Linear","Convex and Linear","LL and VL and VV","Backslope and Shoulder","MI600","11658","15C","Kalkaska sand, 6 to 18 percent slopes","Consociation",NA,"Order 2",61276,"Not prime farmland",0,4.94999988555908,NA,869875.082419682,53241.7956894846,0,0,1,0,1,0,0,0,1,0,0
"GRR.NJL.2023.12",190743,"21199229","Somewhat excessively drained",98,"Kalkaska","Sandy, isotic, frigid Typic Haplorthods","Typic Haplorthods",90.6,94.7333333333333,500,95,100,"Series","Yes",NA,NA,6,12,18,15,30,46,"Low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,354,520,NA,NA,NA,"valley trains on ice-margin complexes, rises on outwash plains, moraines on till plains",NA,0.0199999995529652,NA,5,7,9,700,810,920,NA,NA,NA,90,120,160,6,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","frigid","Typic","frigid","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Drift",NA,"moraines",NA,"Nose Slope and Side Slope",NA,NA,"Convex and Linear","Convex and Linear","LL and VL and VV","Backslope and Shoulder","MI600","11658","15C","Kalkaska sand, 6 to 18 percent slopes","Consociation",NA,"Order 2",61276,"Not prime farmland",0,4.94999988555908,NA,869612.037769822,53525.5073971731,0,0,1,0,1,0,0,0,1,0,0
"GRR.2011.GJS.6",190740,"21199205","Excessively drained",92,"Plainfield","Mixed, mesic Typic Udipsamments","Typic Udipsamments",93.6,95.9333333333333,500,85,100,"Series","Yes",NA,NA,0,2,6,30,91,91,"Very low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,243,313,NA,NA,NA,"moraines, outwash plains on outwash plains, outwash terraces on outwash plains",NA,0.159999996423721,NA,5,9,11,770,900,1040,NA,NA,NA,110,160,200,3,"s",NA,NA,NA,NA,NA,"1sk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Low","Entisols","Psamments","Udipsamments","not used","not used","not used","not used","mesic","Typic","mesic","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5.3a",NA,"Outwash",NA,"outwash plains",NA,"Head Slope and Interfluve and Nose Slope and Side Slope",NA,NA,"Linear","Convex and Linear","LL and VL","Shoulder and Summit","MI600","11658","13B","Plainfield sand, 0 to 6 percent slopes","Consociation",NA,"Order 2",30915,"Not prime farmland",0,5.11599988937378,NA,914246.003016343,42027.6053436797,0,0,1,0,1,0,0,0,1,0,0
"GRR.GJS.2023.42",190760,"21199139","Well drained",30,"Montcalm","Coarse-loamy, mixed, semiactive, frigid Alfic Haplorthods","Alfic Haplorthods",84.5160025024414,79.2980015563965,500,20,30,"Series","Yes",NA,NA,0,3,6,15,52,90,"Low",5,134,"2",NA,NA,NA,NA,"No",183,244,305,NA,NA,NA,"moraines, till plains",NA,0.300000011920929,NA,5,7,8,711,762,813,NA,NA,NA,90,115,140,3,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,NA,NA,NA,"A","Moderate","Low","Spodosols","Orthods","Haplorthods","coarse-loamy",NA,"semiactive","not used","frigid",NA,"frigid",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"4a",NA,"Drift over Glaciofluvial deposits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI600","11658","26B","Manistee-Montcalm loamy sands, 0 to 6 percent slopes","Complex",NA,"Order 2",8361,"Farmland of local importance",0,5.80000019073486,NA,876591.108898532,42324.2110550243,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2023.42",190760,"21199141","Well drained",55,"Manistee","Sandy over clayey, mixed, active, frigid Alfic Haplorthods","Alfic Haplorthods",83.7400024414062,49.0933339945475,500,50,60,"Series","Yes","HIGH PPT",NA,0,3,6,15,52,90,"Low",4,134,"2",NA,NA,NA,NA,"No",183,305,427,NA,NA,NA,"moraines, till plains",NA,0.300000011920929,NA,5,7,8,686,775,864,NA,NA,NA,100,120,140,3,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,NA,NA,NA,"D","Moderate","High","Spodosols","Orthods","Haplorthods","sandy over clayey",NA,"active","not used","frigid",NA,"frigid",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"4/1a",NA,"Lacustrine deposits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI600","11658","26B","Manistee-Montcalm loamy sands, 0 to 6 percent slopes","Complex",NA,"Order 2",8361,"Farmland of local importance",0,5.80000019073486,94,876591.108898532,42324.2110550243,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2023.43",190760,"21199139","Well drained",30,"Montcalm","Coarse-loamy, mixed, semiactive, frigid Alfic Haplorthods","Alfic Haplorthods",84.5160025024414,79.2980015563965,500,20,30,"Series","Yes",NA,NA,0,3,6,15,52,90,"Low",5,134,"2",NA,NA,NA,NA,"No",183,244,305,NA,NA,NA,"moraines, till plains",NA,0.300000011920929,NA,5,7,8,711,762,813,NA,NA,NA,90,115,140,3,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,NA,NA,NA,"A","Moderate","Low","Spodosols","Orthods","Haplorthods","coarse-loamy",NA,"semiactive","not used","frigid",NA,"frigid",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"4a",NA,"Drift over Glaciofluvial deposits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI600","11658","26B","Manistee-Montcalm loamy sands, 0 to 6 percent slopes","Complex",NA,"Order 2",8361,"Farmland of local importance",0,5.80000019073486,NA,876388.616401288,42219.5177157628,0,0,1,0,1,0,0,0,0,0,1
